Positionx,Positiony,Velocityx,Velocityy
0.025,0.94,-0.00752,-0.0514
0.025,0.947,-0.00622,-0.0528
0.025,0.953,-0.0048,-0.0547
0.025,0.96,-0.00362,-0.057
0.025,0.967,-0.00287,-0.0595
0.025,0.973,-0.00246,-0.0621
0.025,0.98,-0.00231,-0.065
0.025,0.987,-0.00252,-0.0685
0.025,0.993,-0.0033,-0.0723
0.025,1,-0.00468,-0.0758
0.03,0,0.331,-0.332
0.03,0.00667,0.301,-0.141
0.03,0.0133,0.258,-0.0303
0.03,0.02,0.241,-0.0888
0.03,0.0267,0.22,-0.0664
0.03,0.0333,0.191,-0.0767
0.03,0.04,0.162,-0.105
0.03,0.0467,0.135,-0.139
0.03,0.0533,0.111,-0.17
0.03,0.06,0.0911,-0.195
0.03,0.0667,0.0757,-0.213
0.03,0.0733,0.0636,-0.226
0.03,0.08,0.0542,-0.236
0.03,0.0867,0.0471,-0.244
0.03,0.0933,0.0417,-0.251
0.03,0.1,0.0375,-0.256
0.03,0.107,0.0343,-0.262
0.03,0.113,0.0316,-0.267
0.03,0.12,0.029,-0.273
0.03,0.127,0.0263,-0.28
0.03,0.133,0.023,-0.288
0.03,0.14,0.0189,-0.297
0.03,0.147,0.0138,-0.308
0.03,0.153,0.00721,-0.32
0.03,0.16,-0.000855,-0.333
0.03,0.167,-0.0105,-0.346
0.03,0.173,-0.0217,-0.36
0.03,0.18,-0.0343,-0.372
0.03,0.187,-0.0481,-0.382
0.03,0.193,-0.063,-0.389
0.03,0.2,-0.0787,-0.393
0.03,0.207,-0.0947,-0.392
0.03,0.213,-0.111,-0.387
0.03,0.22,-0.127,-0.377
0.03,0.227,-0.142,-0.363
0.03,0.233,-0.156,-0.344
0.03,0.24,-0.169,-0.322
0.03,0.247,-0.181,-0.296
0.03,0.253,-0.191,-0.267
0.03,0.26,-0.2,-0.236
0.03,0.267,-0.207,-0.202
0.03,0.273,-0.212,-0.166
0.03,0.28,-0.214,-0.128
0.03,0.287,-0.214,-0.0884
0.03,0.293,-0.21,-0.0485
0.03,0.3,-0.203,-0.00923
0.03,0.307,-0.191,0.0285
0.03,0.313,-0.176,0.0638
0.03,0.32,-0.157,0.0962
0.03,0.327,-0.134,0.125
0.03,0.333,-0.108,0.149
0.03,0.34,-0.0805,0.168
0.03,0.347,-0.0527,0.182
0.03,0.353,-0.0259,0.191
0.03,0.36,-0.0015,0.196
0.03,0.367,0.02,0.196
0.03,0.373,0.0386,0.193
0.03,0.38,0.0553,0.186
0.03,0.387,0.0704,0.176
0.03,0.393,0.0833,0.163
0.03,0.4,0.0935,0.147
0.03,0.407,0.101,0.129
0.03,0.413,0.105,0.11
0.03,0.42,0.107,0.0896
0.03,0.427,0.106,0.0695
0.03,0.433,0.102,0.0498
0.03,0.44,0.0955,0.0314
0.03,0.447,0.0866,0.0147
0.03,0.453,0.0762,-0.000454
0.03,0.46,0.0651,-0.0144
0.03,0.467,0.0542,-0.0274
0.03,0.473,0.0439,-0.0388
0.03,0.48,0.034,-0.0485
0.03,0.487,0.0241,-0.0564
0.03,0.493,0.0141,-0.0627
0.03,0.5,0.00394,-0.0674
0.03,0.507,-0.00589,-0.0706
0.03,0.513,-0.0151,-0.0725
0.03,0.52,-0.0234,-0.0731
0.03,0.527,-0.0307,-0.0722
0.03,0.533,-0.0371,-0.0697
0.03,0.54,-0.0426,-0.0656
0.03,0.547,-0.0473,-0.0603
0.03,0.553,-0.051,-0.054
0.03,0.56,-0.0537,-0.0471
0.03,0.567,-0.0553,-0.0398
0.03,0.573,-0.0557,-0.0322
0.03,0.58,-0.0552,-0.0249
0.03,0.587,-0.0538,-0.0179
0.03,0.593,-0.0516,-0.011
0.03,0.6,-0.0486,-0.00428
0.03,0.607,-0.0448,0.0022
0.03,0.613,-0.0403,0.00805
0.03,0.62,-0.0354,0.0129
0.03,0.627,-0.0301,0.0166
0.03,0.633,-0.0248,0.0188
0.03,0.64,-0.0197,0.0196
0.03,0.647,-0.015,0.0193
0.03,0.653,-0.0108,0.0182
0.03,0.66,-0.00718,0.0163
0.03,0.667,-0.00438,0.0136
0.03,0.673,-0.00245,0.0102
0.03,0.68,-0.00129,0.00631
0.03,0.687,-0.00079,0.00249
0.03,0.693,-0.000816,-0.000896
0.03,0.7,-0.00128,-0.00365
0.03,0.707,-0.00208,-0.00569
0.03,0.713,-0.00305,-0.00696
0.03,0.72,-0.00405,-0.00773
0.03,0.727,-0.00502,-0.00853
0.03,0.733,-0.00596,-0.00971
0.03,0.74,-0.0069,-0.0113
0.03,0.747,-0.00786,-0.0131
0.03,0.753,-0.00888,-0.0151
0.03,0.76,-0.01,-0.017
0.03,0.767,-0.0113,-0.0186
0.03,0.773,-0.0129,-0.0199
0.03,0.78,-0.0147,-0.0207
0.03,0.787,-0.0169,-0.0212
0.03,0.793,-0.019,-0.0212
0.03,0.8,-0.0209,-0.0206
0.03,0.807,-0.0221,-0.0196
0.03,0.813,-0.0228,-0.0182
0.03,0.82,-0.0228,-0.0167
0.03,0.827,-0.0225,-0.0153
0.03,0.833,-0.022,-0.0141
0.03,0.84,-0.0216,-0.0129
0.03,0.847,-0.0213,-0.0117
0.03,0.853,-0.0211,-0.0103
0.03,0.86,-0.0208,-0.00909
0.03,0.867,-0.0203,-0.00812
0.03,0.873,-0.0197,-0.00756
0.03,0.88,-0.0188,-0.00713
0.03,0.887,-0.0177,-0.00657
0.03,0.893,-0.0164,-0.00605
0.03,0.9,-0.0152,-0.00565
0.03,0.907,-0.0141,-0.00526
0.03,0.913,-0.0131,-0.00488
0.03,0.92,-0.012,-0.00481
0.03,0.927,-0.0108,-0.00531
0.03,0.933,-0.00963,-0.00636
0.03,0.94,-0.00834,-0.00769
0.03,0.947,-0.00677,-0.00918
0.03,0.953,-0.00508,-0.011
0.03,0.96,-0.00362,-0.0131
0.03,0.967,-0.00262,-0.0155
0.03,0.973,-0.00205,-0.018
0.03,0.98,-0.0018,-0.0206
0.03,0.987,-0.00202,-0.0235
0.03,0.993,-0.00298,-0.0269
0.03,1,-0.00467,-0.0302
0.035,0,0.392,-0.333
0.035,0.00667,0.343,-0.136
0.035,0.0133,0.279,-0.0224
0.035,0.02,0.26,-0.0797
0.035,0.0267,0.243,-0.0542
0.035,0.0333,0.215,-0.0606
0.035,0.04,0.184,-0.0805
0.035,0.0467,0.154,-0.108
0.035,0.0533,0.125,-0.134
0.035,0.06,0.101,-0.155
0.035,0.0667,0.0814,-0.17
0.035,0.0733,0.0668,-0.181
0.035,0.08,0.0558,-0.188
0.035,0.0867,0.0475,-0.193
0.035,0.0933,0.0413,-0.197
0.035,0.1,0.0367,-0.199
0.035,0.107,0.0332,-0.202
0.035,0.113,0.0306,-0.204
0.035,0.12,0.0283,-0.207
0.035,0.127,0.026,-0.211
0.035,0.133,0.0234,-0.216
0.035,0.14,0.0201,-0.222
0.035,0.147,0.0157,-0.23
0.035,0.153,0.0099,-0.24
0.035,0.16,0.00229,-0.252
0.035,0.167,-0.00727,-0.265
0.035,0.173,-0.0188,-0.278
0.035,0.18,-0.0323,-0.291
0.035,0.187,-0.0475,-0.303
0.035,0.193,-0.0644,-0.313
0.035,0.2,-0.0827,-0.319
0.035,0.207,-0.102,-0.322
0.035,0.213,-0.122,-0.32
0.035,0.22,-0.141,-0.314
0.035,0.227,-0.16,-0.304
0.035,0.233,-0.178,-0.289
0.035,0.24,-0.194,-0.27
0.035,0.247,-0.209,-0.247
0.035,0.253,-0.221,-0.221
0.035,0.26,-0.232,-0.193
0.035,0.267,-0.24,-0.162
0.035,0.273,-0.245,-0.129
0.035,0.28,-0.248,-0.0937
0.035,0.287,-0.247,-0.0571
0.035,0.293,-0.242,-0.0199
0.035,0.3,-0.233,0.0172
0.035,0.307,-0.22,0.0529
0.035,0.313,-0.202,0.0865
0.035,0.32,-0.179,0.117
0.035,0.327,-0.153,0.145
0.035,0.333,-0.123,0.168
0.035,0.34,-0.0914,0.187
0.035,0.347,-0.0593,0.201
0.035,0.353,-0.0284,0.21
0.035,0.36,-0.000182,0.214
0.035,0.367,0.0247,0.215
0.035,0.373,0.0463,0.212
0.035,0.38,0.0652,0.207
0.035,0.387,0.0821,0.198
0.035,0.393,0.0966,0.187
0.035,0.4,0.108,0.174
0.035,0.407,0.116,0.158
0.035,0.413,0.121,0.141
0.035,0.42,0.123,0.124
0.035,0.427,0.121,0.107
0.035,0.433,0.116,0.0904
0.035,0.44,0.108,0.0745
0.035,0.447,0.0981,0.0601
0.035,0.453,0.0864,0.0471
0.035,0.46,0.0741,0.0351
0.035,0.467,0.0619,0.0238
0.035,0.473,0.0501,0.0138
0.035,0.48,0.0386,0.00535
0.035,0.487,0.0272,-0.00145
0.035,0.493,0.0157,-0.00676
0.035,0.5,0.00432,-0.0107
0.035,0.507,-0.00669,-0.0132
0.035,0.513,-0.017,-0.0145
0.035,0.52,-0.0265,-0.0148
0.035,0.527,-0.0349,-0.014
0.035,0.533,-0.0423,-0.012
0.035,0.54,-0.0487,-0.00852
0.035,0.547,-0.054,-0.00398
0.035,0.553,-0.0583,0.00132
0.035,0.56,-0.0612,0.00718
0.035,0.567,-0.0629,0.0135
0.035,0.573,-0.0633,0.0199
0.035,0.58,-0.0627,0.0263
0.035,0.587,-0.0611,0.0324
0.035,0.593,-0.0587,0.0383
0.035,0.6,-0.0553,0.0441
0.035,0.607,-0.051,0.0499
0.035,0.613,-0.0458,0.0551
0.035,0.62,-0.04,0.0596
0.035,0.627,-0.0338,0.063
0.035,0.633,-0.0275,0.0651
0.035,0.64,-0.0216,0.0659
0.035,0.647,-0.0162,0.0655
0.035,0.653,-0.0112,0.0643
0.035,0.66,-0.00685,0.0623
0.035,0.667,-0.00344,0.0596
0.035,0.673,-0.00106,0.0562
0.035,0.68,0.000329,0.0522
0.035,0.687,0.000842,0.0481
0.035,0.693,0.000642,0.0442
0.035,0.7,-0.000124,0.041
0.035,0.707,-0.00131,0.0385
0.035,0.713,-0.00271,0.0368
0.035,0.72,-0.00414,0.0359
0.035,0.727,-0.00547,0.0352
0.035,0.733,-0.00668,0.0344
0.035,0.74,-0.00777,0.0332
0.035,0.747,-0.00881,0.0317
0.035,0.753,-0.00992,0.03
0.035,0.76,-0.0112,0.0284
0.035,0.767,-0.0126,0.0269
0.035,0.773,-0.0143,0.0258
0.035,0.78,-0.0163,0.025
0.035,0.787,-0.0187,0.0244
0.035,0.793,-0.021,0.0242
0.035,0.8,-0.0231,0.0244
0.035,0.807,-0.0247,0.0251
0.035,0.813,-0.0255,0.0262
0.035,0.82,-0.0257,0.0275
0.035,0.827,-0.0254,0.0288
0.035,0.833,-0.0248,0.0298
0.035,0.84,-0.0243,0.0308
0.035,0.847,-0.0239,0.0318
0.035,0.853,-0.0235,0.033
0.035,0.86,-0.0231,0.0342
0.035,0.867,-0.0225,0.0355
0.035,0.873,-0.0218,0.0365
0.035,0.88,-0.021,0.0373
0.035,0.887,-0.0199,0.0382
0.035,0.893,-0.0185,0.039
0.035,0.9,-0.0172,0.0395
0.035,0.907,-0.0161,0.04
0.035,0.913,-0.015,0.0403
0.035,0.92,-0.0137,0.0404
0.035,0.927,-0.0122,0.0399
0.035,0.933,-0.0106,0.0388
0.035,0.94,-0.00897,0.0373
0.035,0.947,-0.00714,0.0357
0.035,0.953,-0.00519,0.034
0.035,0.96,-0.00349,0.032
0.035,0.967,-0.00232,0.0298
0.035,0.973,-0.00171,0.0277
0.035,0.98,-0.00152,0.0255
0.035,0.987,-0.00183,0.0233
0.035,0.993,-0.00293,0.0206
0.035,1,-0.00485,0.0178
0.04,0,0.448,-0.334
0.04,0.00667,0.382,-0.129
0.04,0.0133,0.296,-0.0108
0.04,0.02,0.276,-0.0687
0.04,0.0267,0.263,-0.0392
0.04,0.0333,0.236,-0.0433
0.04,0.04,0.204,-0.0568
0.04,0.0467,0.17,-0.077
0.04,0.0533,0.138,-0.0982
0.04,0.06,0.109,-0.116
0.04,0.0667,0.0859,-0.129
0.04,0.0733,0.0685,-0.137
0.04,0.08,0.0555,-0.142
0.04,0.0867,0.046,-0.144
0.04,0.0933,0.039,-0.145
0.04,0.1,0.0339,-0.145
0.04,0.107,0.0303,-0.144
0.04,0.113,0.0277,-0.144
0.04,0.12,0.0256,-0.144
0.04,0.127,0.0239,-0.144
0.04,0.133,0.022,-0.146
0.04,0.14,0.0197,-0.15
0.04,0.147,0.0163,-0.155
0.04,0.153,0.0114,-0.162
0.04,0.16,0.0047,-0.171
0.04,0.167,-0.00423,-0.182
0.04,0.173,-0.0155,-0.195
0.04,0.18,-0.0292,-0.207
0.04,0.187,-0.0454,-0.22
0.04,0.193,-0.0641,-0.231
0.04,0.2,-0.0849,-0.24
0.04,0.207,-0.107,-0.245
0.04,0.213,-0.131,-0.247
0.04,0.22,-0.155,-0.245
0.04,0.227,-0.178,-0.238
0.04,0.233,-0.2,-0.227
0.04,0.24,-0.22,-0.212
0.04,0.247,-0.238,-0.194
0.04,0.253,-0.252,-0.172
0.04,0.26,-0.264,-0.147
0.04,0.267,-0.273,-0.12
0.04,0.273,-0.279,-0.09
0.04,0.28,-0.281,-0.0583
0.04,0.287,-0.279,-0.025
0.04,0.293,-0.273,0.00918
0.04,0.3,-0.263,0.0436
0.04,0.307,-0.247,0.0771
0.04,0.313,-0.226,0.109
0.04,0.32,-0.201,0.138
0.04,0.327,-0.171,0.164
0.04,0.333,-0.137,0.186
0.04,0.34,-0.102,0.204
0.04,0.347,-0.0657,0.218
0.04,0.353,-0.031,0.227
0.04,0.36,0.000792,0.232
0.04,0.367,0.029,0.233
0.04,0.373,0.0533,0.232
0.04,0.38,0.0743,0.227
0.04,0.387,0.0928,0.22
0.04,0.393,0.109,0.211
0.04,0.4,0.121,0.2
0.04,0.407,0.13,0.187
0.04,0.413,0.135,0.173
0.04,0.42,0.136,0.159
0.04,0.427,0.134,0.145
0.04,0.433,0.129,0.131
0.04,0.44,0.12,0.118
0.04,0.447,0.108,0.105
0.04,0.453,0.0957,0.0945
0.04,0.46,0.0823,0.0843
0.04,0.467,0.069,0.0746
0.04,0.473,0.0559,0.0659
0.04,0.48,0.0429,0.0587
0.04,0.487,0.0301,0.0529
0.04,0.493,0.0172,0.0486
0.04,0.5,0.00456,0.0455
0.04,0.507,-0.00755,0.0436
0.04,0.513,-0.0189,0.0427
0.04,0.52,-0.0292,0.0427
0.04,0.527,-0.0386,0.0433
0.04,0.533,-0.0469,0.0448
0.04,0.54,-0.0539,0.0474
0.04,0.547,-0.0598,0.0509
0.04,0.553,-0.0644,0.055
0.04,0.56,-0.0676,0.0596
0.04,0.567,-0.0694,0.0646
0.04,0.573,-0.0698,0.0699
0.04,0.58,-0.0691,0.0752
0.04,0.587,-0.0673,0.0803
0.04,0.593,-0.0647,0.0851
0.04,0.6,-0.061,0.09
0.04,0.607,-0.0563,0.0949
0.04,0.613,-0.0505,0.0996
0.04,0.62,-0.044,0.104
0.04,0.627,-0.0369,0.107
0.04,0.633,-0.0298,0.109
0.04,0.64,-0.023,0.11
0.04,0.647,-0.0167,0.109
0.04,0.653,-0.011,0.108
0.04,0.66,-0.00601,0.106
0.04,0.667,-0.00201,0.104
0.04,0.673,0.000845,0.101
0.04,0.68,0.00254,0.0967
0.04,0.687,0.00314,0.0924
0.04,0.693,0.0028,0.0883
0.04,0.7,0.00169,0.0847
0.04,0.707,1.71E-05,0.0818
0.04,0.713,-0.00198,0.0798
0.04,0.72,-0.00402,0.0786
0.04,0.727,-0.00588,0.0779
0.04,0.733,-0.00747,0.0772
0.04,0.74,-0.0088,0.0764
0.04,0.747,-0.00998,0.0752
0.04,0.753,-0.0112,0.0739
0.04,0.76,-0.0125,0.0726
0.04,0.767,-0.014,0.0715
0.04,0.773,-0.0158,0.0706
0.04,0.78,-0.0179,0.0699
0.04,0.787,-0.0202,0.0694
0.04,0.793,-0.0227,0.069
0.04,0.8,-0.025,0.0689
0.04,0.807,-0.0268,0.0692
0.04,0.813,-0.0279,0.0699
0.04,0.82,-0.0282,0.0709
0.04,0.827,-0.0279,0.0719
0.04,0.833,-0.0273,0.0728
0.04,0.84,-0.0266,0.0735
0.04,0.847,-0.0262,0.0743
0.04,0.853,-0.0258,0.0754
0.04,0.86,-0.0254,0.0766
0.04,0.867,-0.0248,0.0781
0.04,0.873,-0.0241,0.0796
0.04,0.88,-0.0233,0.081
0.04,0.887,-0.0221,0.0823
0.04,0.893,-0.0207,0.0833
0.04,0.9,-0.0192,0.0841
0.04,0.907,-0.018,0.0845
0.04,0.913,-0.0168,0.0848
0.04,0.92,-0.0152,0.0847
0.04,0.927,-0.0132,0.0841
0.04,0.933,-0.0111,0.083
0.04,0.94,-0.00912,0.0813
0.04,0.947,-0.00706,0.0796
0.04,0.953,-0.00496,0.0778
0.04,0.96,-0.00312,0.076
0.04,0.967,-0.0019,0.0742
0.04,0.973,-0.00137,0.0724
0.04,0.98,-0.00133,0.0708
0.04,0.987,-0.0018,0.0693
0.04,0.993,-0.00302,0.0674
0.04,1,-0.00509,0.0654
0.045,0,0.5,-0.334
0.045,0.00667,0.418,-0.121
0.045,0.0133,0.312,0.00101
0.045,0.02,0.288,-0.0571
0.045,0.0267,0.279,-0.0227
0.045,0.0333,0.254,-0.0246
0.045,0.04,0.221,-0.0327
0.045,0.0467,0.185,-0.0467
0.045,0.0533,0.149,-0.0629
0.045,0.06,0.116,-0.0775
0.045,0.0667,0.0897,-0.0883
0.045,0.0733,0.0693,-0.0949
0.045,0.08,0.0542,-0.0978
0.045,0.0867,0.0432,-0.0981
0.045,0.0933,0.0352,-0.0967
0.045,0.1,0.0296,-0.0942
0.045,0.107,0.0257,-0.0913
0.045,0.113,0.0231,-0.0884
0.045,0.12,0.0214,-0.0859
0.045,0.127,0.0201,-0.0841
0.045,0.133,0.0189,-0.0833
0.045,0.14,0.0175,-0.0839
0.045,0.147,0.0152,-0.0863
0.045,0.153,0.0115,-0.0908
0.045,0.16,0.00606,-0.0974
0.045,0.167,-0.00168,-0.106
0.045,0.173,-0.012,-0.116
0.045,0.18,-0.0253,-0.127
0.045,0.187,-0.0419,-0.139
0.045,0.193,-0.0618,-0.15
0.045,0.2,-0.085,-0.16
0.045,0.207,-0.111,-0.168
0.045,0.213,-0.139,-0.173
0.045,0.22,-0.167,-0.174
0.045,0.227,-0.195,-0.171
0.045,0.233,-0.221,-0.164
0.045,0.24,-0.245,-0.154
0.045,0.247,-0.265,-0.139
0.045,0.253,-0.282,-0.122
0.045,0.26,-0.295,-0.101
0.045,0.267,-0.304,-0.0773
0.045,0.273,-0.309,-0.0511
0.045,0.28,-0.311,-0.0229
0.045,0.287,-0.308,0.00688
0.045,0.293,-0.301,0.0379
0.045,0.3,-0.289,0.0693
0.045,0.307,-0.271,0.1
0.045,0.313,-0.248,0.13
0.045,0.32,-0.22,0.157
0.045,0.327,-0.187,0.182
0.045,0.333,-0.15,0.203
0.045,0.34,-0.111,0.22
0.045,0.347,-0.0716,0.233
0.045,0.353,-0.0336,0.243
0.045,0.36,0.00143,0.248
0.045,0.367,0.0326,0.25
0.045,0.373,0.0594,0.249
0.045,0.38,0.0825,0.246
0.045,0.387,0.103,0.24
0.045,0.393,0.12,0.233
0.045,0.4,0.133,0.224
0.045,0.407,0.143,0.214
0.045,0.413,0.148,0.203
0.045,0.42,0.149,0.192
0.045,0.427,0.146,0.18
0.045,0.433,0.14,0.169
0.045,0.44,0.13,0.159
0.045,0.447,0.118,0.149
0.045,0.453,0.104,0.14
0.045,0.46,0.0901,0.131
0.045,0.467,0.0758,0.123
0.045,0.473,0.0615,0.115
0.045,0.48,0.0472,0.109
0.045,0.487,0.0329,0.105
0.045,0.493,0.0188,0.101
0.045,0.5,0.00502,0.0988
0.045,0.507,-0.00805,0.0975
0.045,0.513,-0.0201,0.0969
0.045,0.52,-0.0312,0.0969
0.045,0.527,-0.0411,0.0972
0.045,0.533,-0.05,0.098
0.045,0.54,-0.0576,0.0995
0.045,0.547,-0.0639,0.102
0.045,0.553,-0.0687,0.105
0.045,0.56,-0.0722,0.108
0.045,0.567,-0.0741,0.111
0.045,0.573,-0.0746,0.115
0.045,0.58,-0.0739,0.12
0.045,0.587,-0.072,0.124
0.045,0.593,-0.0692,0.128
0.045,0.6,-0.0653,0.132
0.045,0.607,-0.0603,0.136
0.045,0.613,-0.0541,0.14
0.045,0.62,-0.0469,0.143
0.045,0.627,-0.0391,0.146
0.045,0.633,-0.0312,0.148
0.045,0.64,-0.0235,0.149
0.045,0.647,-0.0164,0.149
0.045,0.653,-0.01,0.148
0.045,0.66,-0.00446,0.146
0.045,0.667,9.25E-05,0.144
0.045,0.673,0.00347,0.142
0.045,0.68,0.00557,0.138
0.045,0.687,0.00635,0.134
0.045,0.693,0.00588,0.13
0.045,0.7,0.0044,0.126
0.045,0.707,0.00217,0.123
0.045,0.713,-0.000505,0.12
0.045,0.72,-0.00327,0.119
0.045,0.727,-0.00577,0.118
0.045,0.733,-0.00784,0.117
0.045,0.74,-0.00949,0.117
0.045,0.747,-0.0109,0.116
0.045,0.753,-0.0121,0.115
0.045,0.76,-0.0135,0.114
0.045,0.767,-0.0151,0.113
0.045,0.773,-0.0168,0.113
0.045,0.78,-0.0188,0.112
0.045,0.787,-0.0211,0.112
0.045,0.793,-0.0236,0.111
0.045,0.8,-0.026,0.111
0.045,0.807,-0.028,0.111
0.045,0.813,-0.0293,0.111
0.045,0.82,-0.0297,0.112
0.045,0.827,-0.0294,0.113
0.045,0.833,-0.0288,0.113
0.045,0.84,-0.0282,0.114
0.045,0.847,-0.0278,0.114
0.045,0.853,-0.0275,0.115
0.045,0.86,-0.0273,0.116
0.045,0.867,-0.0268,0.118
0.045,0.873,-0.0262,0.12
0.045,0.88,-0.0253,0.122
0.045,0.887,-0.0241,0.124
0.045,0.893,-0.0225,0.125
0.045,0.9,-0.0209,0.126
0.045,0.907,-0.0194,0.126
0.045,0.913,-0.0178,0.126
0.045,0.92,-0.0157,0.126
0.045,0.927,-0.0132,0.126
0.045,0.933,-0.0106,0.124
0.045,0.94,-0.00822,0.123
0.045,0.947,-0.00603,0.121
0.045,0.953,-0.00394,0.119
0.045,0.96,-0.00215,0.117
0.045,0.967,-0.00101,0.116
0.045,0.973,-0.000654,0.114
0.045,0.98,-0.000854,0.113
0.045,0.987,-0.00151,0.112
0.045,0.993,-0.00282,0.111
0.045,1,-0.00495,0.11
0.05,0,0.547,-0.335
0.05,0.00667,0.45,-0.115
0.05,0.0133,0.324,0.0112
0.05,0.02,0.297,-0.0449
0.05,0.0267,0.292,-0.00577
0.05,0.0333,0.27,-0.00472
0.05,0.04,0.236,-0.00802
0.05,0.0467,0.198,-0.0163
0.05,0.0533,0.159,-0.0277
0.05,0.06,0.124,-0.039
0.05,0.0667,0.0935,-0.0479
0.05,0.0733,0.0701,-0.0532
0.05,0.08,0.0527,-0.055
0.05,0.0867,0.04,-0.0541
0.05,0.0933,0.0309,-0.0513
0.05,0.1,0.0246,-0.0474
0.05,0.107,0.0204,-0.043
0.05,0.113,0.0177,-0.0387
0.05,0.12,0.0161,-0.0348
0.05,0.127,0.0151,-0.0314
0.05,0.133,0.0145,-0.0289
0.05,0.14,0.0138,-0.0275
0.05,0.147,0.0126,-0.0277
0.05,0.153,0.0103,-0.0299
0.05,0.16,0.00644,-0.034
0.05,0.167,0.000371,-0.0401
0.05,0.173,-0.00849,-0.0477
0.05,0.18,-0.0208,-0.0567
0.05,0.187,-0.037,-0.0668
0.05,0.193,-0.0577,-0.0774
0.05,0.2,-0.0827,-0.0876
0.05,0.207,-0.111,-0.0964
0.05,0.213,-0.143,-0.103
0.05,0.22,-0.175,-0.107
0.05,0.227,-0.208,-0.107
0.05,0.233,-0.238,-0.104
0.05,0.24,-0.265,-0.0974
0.05,0.247,-0.288,-0.0872
0.05,0.253,-0.307,-0.0735
0.05,0.26,-0.321,-0.0564
0.05,0.267,-0.33,-0.0362
0.05,0.273,-0.335,-0.0134
0.05,0.28,-0.336,0.0114
0.05,0.287,-0.332,0.0379
0.05,0.293,-0.324,0.0657
0.05,0.3,-0.31,0.0941
0.05,0.307,-0.29,0.122
0.05,0.313,-0.265,0.15
0.05,0.32,-0.235,0.175
0.05,0.327,-0.2,0.197
0.05,0.333,-0.16,0.217
0.05,0.34,-0.119,0.233
0.05,0.347,-0.077,0.246
0.05,0.353,-0.0362,0.255
0.05,0.36,0.00162,0.261
0.05,0.367,0.0354,0.264
0.05,0.373,0.0646,0.264
0.05,0.38,0.0896,0.262
0.05,0.387,0.111,0.258
0.05,0.393,0.129,0.252
0.05,0.4,0.144,0.246
0.05,0.407,0.154,0.238
0.05,0.413,0.159,0.23
0.05,0.42,0.159,0.221
0.05,0.427,0.156,0.213
0.05,0.433,0.15,0.204
0.05,0.44,0.139,0.196
0.05,0.447,0.127,0.188
0.05,0.453,0.113,0.18
0.05,0.46,0.0976,0.174
0.05,0.467,0.0825,0.167
0.05,0.473,0.0671,0.161
0.05,0.48,0.0516,0.156
0.05,0.487,0.0361,0.152
0.05,0.493,0.0208,0.149
0.05,0.5,0.00607,0.148
0.05,0.507,-0.00774,0.147
0.05,0.513,-0.0204,0.146
0.05,0.52,-0.0318,0.146
0.05,0.527,-0.0421,0.146
0.05,0.533,-0.0513,0.146
0.05,0.54,-0.0592,0.146
0.05,0.547,-0.0657,0.147
0.05,0.553,-0.0708,0.148
0.05,0.56,-0.0744,0.15
0.05,0.567,-0.0766,0.153
0.05,0.573,-0.0773,0.156
0.05,0.58,-0.0766,0.159
0.05,0.587,-0.0747,0.162
0.05,0.593,-0.0718,0.165
0.05,0.6,-0.0678,0.168
0.05,0.607,-0.0626,0.171
0.05,0.613,-0.056,0.175
0.05,0.62,-0.0484,0.178
0.05,0.627,-0.04,0.18
0.05,0.633,-0.0313,0.182
0.05,0.64,-0.0228,0.183
0.05,0.647,-0.015,0.184
0.05,0.653,-0.00802,0.183
0.05,0.66,-0.00198,0.182
0.05,0.667,0.00308,0.18
0.05,0.673,0.007,0.178
0.05,0.68,0.00957,0.175
0.05,0.687,0.0106,0.171
0.05,0.693,0.01,0.167
0.05,0.7,0.00822,0.163
0.05,0.707,0.00546,0.16
0.05,0.713,0.00211,0.157
0.05,0.72,-0.0014,0.155
0.05,0.727,-0.0046,0.154
0.05,0.733,-0.00724,0.153
0.05,0.74,-0.00928,0.153
0.05,0.747,-0.0109,0.152
0.05,0.753,-0.0122,0.152
0.05,0.76,-0.0137,0.151
0.05,0.767,-0.0152,0.151
0.05,0.773,-0.0169,0.15
0.05,0.78,-0.0188,0.15
0.05,0.787,-0.0209,0.15
0.05,0.793,-0.0233,0.149
0.05,0.8,-0.0257,0.149
0.05,0.807,-0.0277,0.149
0.05,0.813,-0.0291,0.149
0.05,0.82,-0.0297,0.149
0.05,0.827,-0.0295,0.149
0.05,0.833,-0.029,0.15
0.05,0.84,-0.0284,0.15
0.05,0.847,-0.0281,0.15
0.05,0.853,-0.0281,0.151
0.05,0.86,-0.028,0.152
0.05,0.867,-0.0278,0.154
0.05,0.873,-0.0273,0.156
0.05,0.88,-0.0264,0.159
0.05,0.887,-0.0251,0.161
0.05,0.893,-0.0234,0.162
0.05,0.9,-0.0215,0.163
0.05,0.907,-0.0195,0.164
0.05,0.913,-0.0174,0.164
0.05,0.92,-0.0148,0.164
0.05,0.927,-0.0116,0.163
0.05,0.933,-0.00856,0.162
0.05,0.94,-0.0059,0.16
0.05,0.947,-0.00368,0.159
0.05,0.953,-0.00173,0.157
0.05,0.96,-0.000161,0.155
0.05,0.967,0.000734,0.154
0.05,0.973,0.000837,0.152
0.05,0.98,0.000365,0.152
0.05,0.987,-0.000504,0.151
0.05,0.993,-0.0019,0.151
0.05,1,-0.00402,0.151
0.055,0,0.59,-0.335
0.055,0.00667,0.479,-0.109
